Historical and Forecast Energy Sector Fossil Fuel Emissions	All Fossil Fuels	GtCO2	2017	35.83	10.569	2.967	3.035	5.924	2.704	1.738	3.783	1.803	0.812	2.492
Historical and Forecast Energy Sector Fossil Fuel Emissions	All Fossil Fuels	GtCO2	2018	36.73	11.102	2.989	3.025	5.932	2.669	1.848	3.833	1.878	0.963	2.495
Historical and Forecast Energy Sector Fossil Fuel Emissions	All Fossil Fuels	GtCO2	2019	36.46	10.929	2.895	3.072	6.204	2.733	1.976	3.664	1.804	0.790	2.396
Historical and Forecast Energy Sector Fossil Fuel Emissions	All Fossil Fuels	GtCO2	2020	35.01	11.445	2.726	3.031	5.388	2.728	1.822	3.227	1.543	0.796	2.307
Historical and Forecast Energy Sector Fossil Fuel Emissions	All Fossil Fuels	GtCO2	2021	35.96	11.493	3.002	3.208	5.745	2.632	1.981	3.261	1.610	0.818	2.208
Historical and Forecast Energy Sector Fossil Fuel Emissions	All Fossil Fuels	GtCO2	2022	36.83	11.811	3.126	3.359	5.743	2.761	1.880	3.383	1.648	0.888	2.232
Historical and Forecast Energy Sector Fossil Fuel Emissions	All Fossil Fuels	GtCO2	2023	37.32	12.163	3.301	3.429	5.633	2.720	1.990	3.338	1.641	0.898	2.207
Historical and Forecast Energy Sector Fossil Fuel Emissions	All Fossil Fuels	GtCO2	2024	37.46	12.255	3.465	3.491	5.483	2.712	2.075	3.285	1.606	0.909	2.176
Historical and Forecast Energy Sector Fossil Fuel Emissions	All Fossil Fuels	GtCO2	2025	37.47	12.329	3.604	3.544	5.363	2.691	2.134	3.217	1.574	0.906	2.104
Historical and Forecast Energy Sector Fossil Fuel Emissions	All Fossil Fuels	GtCO2	2026	37.27	12.369	3.716	3.572	5.230	2.658	2.169	3.123	1.545	0.890	1.998
Historical and Forecast Energy Sector Fossil Fuel Emissions	All Fossil Fuels	GtCO2	2027	37.03	12.360	3.823	3.595	5.107	2.622	2.192	3.005	1.521	0.893	1.909
Historical and Forecast Energy Sector Fossil Fuel Emissions	All Fossil Fuels	GtCO2	2028	36.78	12.302	3.931	3.634	4.964	2.604	2.219	2.882	1.511	0.909	1.825
Historical and Forecast Energy Sector Fossil Fuel Emissions	All Fossil Fuels	GtCO2	2029	36.40	12.193	4.000	3.670	4.810	2.592	2.239	2.745	1.509	0.924	1.723
Historical and Forecast Energy Sector Fossil Fuel Emissions	All Fossil Fuels	GtCO2	2030	35.97	12.056	4.068	3.703	4.656	2.579	2.236	2.603	1.508	0.942	1.615