Climate Path Electricity Geneneration	Solar	TWh	2024	  2,359.56 	  708.46 	  144.72 	  103.25 	  443.49 	  28.54 	  60.43 	  425.21 	  136.31 	  27.64 	  281.53 											
Climate Path Electricity Geneneration	Solar	TWh	2025	  2,892.56 	  886.49 	  172.25 	  125.16 	  563.45 	  35.32 	  75.34 	  501.12 	  164.10 	  32.94 	  336.39 											
Climate Path Electricity Geneneration	Solar	TWh	2026	  3,433.75 	  1,075.76 	  212.53 	  147.65 	  668.86 	  43.19 	  95.78 	  569.12 	  192.81 	  40.53 	  387.53 											
Climate Path Electricity Geneneration	Solar	TWh	2027	  4,020.14 	  1,254.79 	  279.72 	  190.08 	  772.55 	  51.25 	  117.23 	  651.64 	  220.88 	  51.29 	  430.69 											
Climate Path Electricity Geneneration	Solar	TWh	2028	  4,626.78 	  1,443.80 	  355.81 	  224.13 	  881.93 	  66.36 	  124.56 	  739.32 	  249.64 	  64.56 	  476.67 											
Climate Path Electricity Geneneration	Solar	TWh	2029	  5,238.83 	  1,634.42 	  417.06 	  261.00 	  995.39 	  83.39 	  139.85 	  817.32 	  278.63 	  75.69 	  536.08 											
Climate Path Electricity Geneneration	Solar	TWh	2030	  5,829.18 	  1,801.95 	  466.09 	  302.61 	  1,109.46 	  97.04 	  180.05 	  892.06 	  308.92 	  85.24 	  585.76 											
Climate Path Electricity Geneneration	Wind	TWh	2024	  2,512.64 	  828.05 	  94.99 	  59.50 	  531.64 	  30.07 	  28.00 	  644.03 	  216.96 	  23.44 	  55.95 											
Climate Path Electricity Geneneration	Wind	TWh	2025	  2,818.22 	  917.79 	  108.70 	  68.26 	  585.53 	  35.76 	  35.27 	  691.86 	  264.99 	  32.86 	  77.20 											
Climate Path Electricity Geneneration	Wind	TWh	2026	  3,122.51 	  1,006.61 	  114.44 	  79.34 	  641.78 	  48.25 	  42.79 	  750.07 	  296.46 	  39.39 	  103.39 											
Climate Path Electricity Geneneration	Wind	TWh	2027	  3,406.93 	  1,094.35 	  120.55 	  92.54 	  695.29 	  59.07 	  51.54 	  807.94 	  318.33 	  42.11 	  125.23 											
Climate Path Electricity Geneneration	Wind	TWh	2028	  3,714.05 	  1,192.25 	  133.89 	  111.03 	  753.73 	  67.38 	  61.91 	  858.80 	  341.54 	  46.56 	  146.95 											
Climate Path Electricity Geneneration	Wind	TWh	2029	  4,111.19 	  1,329.90 	  156.55 	  137.38 	  815.95 	  79.93 	  72.67 	  922.55 	  366.13 	  53.08 	  177.04 											
Climate Path Electricity Geneneration	Wind	TWh	2030	  4,588.66 	  1,512.81 	  192.95 	  167.37 	  881.31 	  95.71 	  84.77 	  997.81 	  393.24 	  58.81 	  203.90 											
Climate Path Electricity Geneneration	Hydropower	TWh	2024	  4,366.67 	  1,310.80 	  239.72 	  122.43 	  668.15 	  275.31 	  201.33 	  557.85 	  735.47 	  141.22 	  114.40 											
Climate Path Electricity Geneneration	Hydropower	TWh	2025	  4,548.27 	  1,379.26 	  293.21 	  124.26 	  672.38 	  276.08 	  210.00 	  557.49 	  753.68 	  167.22 	  114.68 											
Climate Path Electricity Geneneration	Hydropower	TWh	2026	  4,748.73 	  1,452.51 	  341.60 	  126.01 	  679.87 	  284.15 	  223.10 	  546.74 	  774.65 	  198.96 	  121.14 											
Climate Path Electricity Geneneration	Hydropower	TWh	2027	  4,997.40 	  1,502.85 	  364.39 	  137.22 	  680.10 	  326.02 	  251.93 	  584.21 	  801.22 	  219.64 	  129.82 											
Climate Path Electricity Geneneration	Hydropower	TWh	2028	  5,130.56 	  1,540.96 	  377.08 	  141.94 	  685.73 	  334.67 	  270.30 	  592.87 	  819.30 	  233.12 	  134.58 											
Climate Path Electricity Geneneration	Hydropower	TWh	2029	  5,244.67 	  1,555.41 	  425.14 	  149.47 	  693.09 	  338.60 	  277.70 	  591.09 	  827.10 	  250.27 	  136.80 											
Climate Path Electricity Geneneration	Hydropower	TWh	2030	  5,355.42 	  1,573.81 	  458.94 	  155.64 	  701.47 	  343.15 	  294.51 	  589.20 	  830.05 	  267.29 	  141.36 											
Climate Path Electricity Geneneration	Geothermal	TWh	2024	  105.66 	  0.20 	  0.00 	  10.79 	  24.09 	  0.48 	  29.60 	  10.68 	  12.49 	  6.93 	  10.41 											
Climate Path Electricity Geneneration	Geothermal	TWh	2025	  109.06 	  0.45 	  0.00 	  13.14 	  24.18 	  0.69 	  29.24 	  11.91 	  11.81 	  5.96 	  11.68 											
Climate Path Electricity Geneneration	Geothermal	TWh	2026	  116.41 	  0.15 	  0.00 	  14.06 	  26.72 	  0.22 	  33.67 	  11.42 	  11.12 	  8.90 	  10.17 											
Climate Path Electricity Geneneration	Geothermal	TWh	2027	  130.05 	  0.81 	  0.01 	  14.59 	  28.62 	  0.81 	  36.42 	  12.65 	  11.33 	  12.33 	  12.49 											
Climate Path Electricity Geneneration	Geothermal	TWh	2028	  153.18 	  3.21 	  0.05 	  21.67 	  29.94 	  2.54 	  39.15 	  16.57 	  11.15 	  14.37 	  14.52 											
Climate Path Electricity Geneneration	Geothermal	TWh	2029	  177.83 	  8.83 	  0.50 	  32.30 	  29.84 	  4.79 	  40.93 	  17.49 	  10.94 	  16.25 	  15.94 											
Climate Path Electricity Geneneration	Geothermal	TWh	2030	  221.96 	  24.09 	  4.54 	  44.45 	  31.48 	  8.85 	  42.71 	  19.27 	  10.70 	  18.39 	  17.47 											
Climate Path Electricity Geneneration	Biomass	TWh	2024	  808.35 	  215.82 	  3.73 	  4.08 	  80.73 	  12.79 	  61.42 	  197.90 	  102.70 	  12.32 	  116.87 											
Climate Path Electricity Geneneration	Biomass	TWh	2025	  727.73 	  189.27 	  3.43 	  3.27 	  73.36 	  12.49 	  58.33 	  181.09 	  79.88 	  9.49 	  117.12 											
Climate Path Electricity Geneneration	Biomass	TWh	2026	  649.74 	  183.17 	  4.05 	  2.39 	  69.78 	  11.82 	  50.58 	  142.81 	  61.41 	  6.31 	  117.43 											
Climate Path Electricity Geneneration	Biomass	TWh	2027	  634.98 	  194.48 	  5.01 	  2.48 	  67.35 	  13.56 	  48.37 	  130.60 	  49.44 	  4.03 	  119.68 											
Climate Path Electricity Geneneration	Biomass	TWh	2028	  651.26 	  209.53 	  4.73 	  3.11 	  64.34 	  16.42 	  50.79 	  135.09 	  43.81 	  2.89 	  120.56 											
Climate Path Electricity Geneneration	Biomass	TWh	2029	  674.55 	  225.12 	  6.41 	  3.72 	  63.17 	  18.63 	  53.31 	  141.31 	  42.11 	  2.42 	  118.34 											
Climate Path Electricity Geneneration	Biomass	TWh	2030	  693.10 	  236.68 	  13.06 	  4.39 	  63.33 	  20.76 	  55.27 	  140.03 	  41.46 	  2.47 	  115.65 											
Climate Path Electricity Geneneration	Nuclear	TWh	2024	  2,633.44 	  392.12 	  65.52 	  34.15 	  826.70 	  285.89 	0	  758.07 	  33.74 	  12.09 	  225.17 											
Climate Path Electricity Geneneration	Nuclear	TWh	2025	  2,642.37 	  392.14 	  65.56 	  35.59 	  826.69 	  281.20 	0	  735.34 	  34.93 	  12.07 	  258.85 											
Climate Path Electricity Geneneration	Nuclear	TWh	2026	  2,659.19 	  393.25 	  65.64 	  41.74 	  820.58 	  264.88 	0	  727.15 	  39.99 	  12.12 	  293.83 											
Climate Path Electricity Geneneration	Nuclear	TWh	2027	  2,668.59 	  398.15 	  68.30 	  43.67 	  817.98 	  256.41 	0	  706.94 	  40.75 	  12.27 	  324.14 											
Climate Path Electricity Geneneration	Nuclear	TWh	2028	  2,709.28 	  400.22 	  79.95 	  46.13 	  815.74 	  262.44 	0	  691.46 	  40.21 	  12.34 	  360.80 											
Climate Path Electricity Geneneration	Nuclear	TWh	2029	  2,765.12 	  405.39 	  86.81 	  52.74 	  812.95 	  268.01 	0	  682.76 	  40.00 	  12.36 	  404.10 											
Climate Path Electricity Geneneration	Nuclear	TWh	2030	  2,840.69 	  429.12 	  88.14 	  59.78 	  809.84 	  274.51 	  0.00 	  682.29 	  39.88 	  12.40 	  444.73 											