Solar,Max GW, 	11207 , 	4113 , 	1287 , 	785 , 	1298 , 	586 , 	773 , 	1220 , 	238 , 	198 , 	708 
Solar,Min GW, 	1784 , 	638 , 	111 , 	68 , 	256 , 	29 , 	40 , 	340 , 	70 , 	24 , 	207 
Wind,Max GW, 	5135 , 	2193 , 	455 , 	294 , 	678 , 	228 , 	227 , 	642 , 	178 , 	63 , 	176 
Wind,Min GW, 	1183 , 	462 , 	62 , 	24 , 	200 , 	15 , 	16 , 	284 , 	78 , 	12 , 	31 
Hydropower,Max GW, 	1910 , 	514 , 	213 , 	87 , 	200 , 	117 , 	116 , 	234 , 	242 , 	99 , 	89 
Hydropower,Min GW, 	1405 , 	397 , 	89 , 	56 , 	183 , 	79 , 	63 , 	216 , 	208 , 	46 , 	68 
Geothermal,Max GW, 	63.1 , 	7.6 , 	3.0 , 	13.2 , 	8.5 , 	4.2 , 	8.6 , 	6.5 , 	2.8 , 	4.8 , 	3.8 
Geothermal,Min GW, 	18.4 , 	0.0 , 	0.0 , 	1.8 , 	3.9 , 	0.1 , 	5.4 , 	1.8 , 	2.1 , 	1.4 , 	1.8 
Biomass,Max GW, 	203 , 	46 , 	14 , 	7 , 	20 , 	6 , 	12 , 	48 , 	30 , 	3 , 	18 
Biomass,Min GW, 	175 , 	41 , 	12 , 	3 , 	17 , 	2 , 	9 , 	47 , 	23 , 	2 , 	17 
Nuclear,Max GW, 	467 , 	77 , 	20 , 	15 , 	110 , 	53 , 	0 , 	109 , 	8 , 	2 , 	73 
Nuclear,Min GW, 	390 , 	55 , 	12 , 	5 , 	104 , 	44 , 	0 , 	103 , 	5 , 	2 , 	59 