Latin America Zero-Carbon GW,,,,,,,
,,,,,,,
,Total Renewables (GW),Solar (GW),Wind (GW),Hydro (GW),Geo (GW),Bio (GW),Nuclear (GW) 
LAM Renewables 2024,  367 ,  70 ,  64 ,  208 ,  2 ,  23 ,  5 
Forecast LAM Renewables 2030,  510 ,  140 ,  119 ,  225 ,  2 ,  23 ,  6 
,,,,,,,
Global Renewables (TW),LAM Renewables (GW),Solar (GW),Wind (GW),Hydro (GW),Geo (GW),Bio (GW),Nuclear (GW) 
8.0,499,127,120,226,2,23,6
8.5,508,134,121,227,2,24,7
9.0,513,137,121,228,3,24,7
9.5,518,140,122,229,3,25,7
10.0,523,143,122,230,3,25,7
10.5,533,150,124,232,3,26,7
11.0,538,153,124,233,3,26,7
11.5,543,156,125,234,3,26,7
12.0,548,159,125,234,3,27,7
12.5,558,165,126,236,3,27,7
13.0,563,169,127,237,3,28,7
13.5,568,172,127,238,3,28,7
14.0,573,175,128,239,3,29,7
14.5,583,181,129,240,3,29,7
15.0,587,184,129,241,3,30,8
15.5,592,188,130,242,3,30,8