Middle East and North Africa Zero-Carbon GW,,,,,,,
,,,,,,,
,Total Renewables (GW),Solar (GW),Wind (GW),Hydro (GW),Geo (GW),Bio (GW),Nuclear (GW) 
MEA Renewables 2024,  150 ,  68 ,  21 ,  56 ,  2 ,  3 ,  5 
Forecast MEA Renewables 2030,  309 ,  163 ,  62 ,  71 ,  8 ,  5 ,  10 
,,,,,,,
Global Renewables (TW),MEA Renewables (GW),Solar (GW),Wind (GW),Hydro (GW),Geo (GW),Bio (GW),Nuclear (GW) 
8.0,335,184,66,72,8,5,10
8.5,380,224,69,73,8,5,10
9.0,419,259,73,74,9,5,11
9.5,464,298,76,75,9,5,11
10.0,509,338,80,76,9,5,11
10.5,553,377,84,77,10,5,12
11.0,593,412,87,78,10,6,12
11.5,638,452,91,79,10,6,12
12.0,682,491,95,80,11,6,13
12.5,727,531,98,81,11,6,13
13.0,767,566,102,82,11,6,13
13.5,812,605,105,83,12,6,13
14.0,856,645,109,84,12,6,14
14.5,901,684,113,85,13,6,14
15.0,941,719,116,86,13,7,14
15.5,985,759,120,87,13,7,15