Northeast Eurasia Zero-Carbon GW,,,,,,,
,,,,,,,
,Total Renewables (GW),Solar (GW),Wind (GW),Hydro (GW),Geo (GW),Bio (GW),Nuclear (GW) 
NEE Renewables 2024,  121 ,  29 ,  11 ,  79 ,  0 ,  2 ,  44 
Forecast NEE Renewables 2030,  219 ,  80 ,  34 ,  98 ,  2 ,  4 ,  49 
,,,,,,,
Global Renewables (TW),NEE Renewables (GW),Solar (GW),Wind (GW),Hydro (GW),Geo (GW),Bio (GW),Nuclear (GW) 
8.0,231,84,41,99,2,4,49
8.5,266,109,49,101,2,4,49
9.0,296,131,56,102,3,4,49
9.5,325,152,63,103,3,4,50
10.0,355,174,70,104,3,4,50
10.5,390,199,78,106,3,5,50
11.0,420,220,85,107,3,5,50
11.5,449,242,92,108,3,5,51
12.0,479,263,99,109,3,5,51
12.5,514,288,107,110,3,5,51
13.0,544,309,114,111,4,5,51
13.5,573,331,121,113,4,5,52
14.0,603,352,128,114,4,5,52
14.5,638,377,136,115,4,5,52
15.0,668,399,143,116,4,6,52
15.5,697,420,150,117,4,6,53